label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,106,118.512,1.975,0.464,447.644,177.003,194.589,189.489,177.91,153.056,1.122
0,97,113.018,1.884,0.539,417.738,167.314,178.059,162.521,140.684,100.464,1.323
0,77,98.858,1.648,0.678,400.899,157.892,141.156,117.72,87.966,64.078,1.57
0,51,77.987,1.3,0.858,377.387,127.424,116.846,109.932,112.787,116.379,1.034
0,31,61.4,1.023,1.042,367.681,113.358,111.803,135.558,151.954,148.489,0.769
0,11,50.22,0.837,1.35,343.105,101.71,123.556,166.379,180.347,178.025,0.706
0,-13,43.966,0.733,1.871,307.319,102.956,130.801,179.689,195.021,190.874,0.694
0,-43,47.854,0.798,2.687,228.98,104.938,146.168,193.961,202.237,197.773,0.738
0,-89,91.005,1.517,-2.931,214.394,100.603,161.533,201.814,213.588,208.492,0.777
0,-89,91.005,1.517,-2.931,214.394,100.603,161.533,201.814,213.588,208.492,0.777
0,-89,91.005,1.517,-2.931,214.394,100.603,161.533,201.814,213.588,208.492,0.777
0,-89,91.005,1.517,-2.931,214.394,100.603,161.533,201.814,213.588,208.492,0.777
0,-89,91.005,1.517,-2.931,214.394,100.603,161.533,201.814,213.588,208.492,0.777
0,-176,176.182,2.936,-3.096,131.461,99.85,172.627,216.342,216.449,207.152,0.809
0,-176,176.409,2.94,-3.074,170.238,103.247,187.385,219.659,223.808,207.504,0.864
0,-190,190.948,3.182,-3.042,199.572,104.346,194.34,225.144,225.056,207.617,0.886
0,-196,197.851,3.298,-3.005,241.406,104.695,199.449,227.068,229.14,211.596,0.896
0,-200,202.869,3.381,-2.973,289.002,109.932,208.087,230.263,228.709,213.846,0.928
0,-196,200.242,3.337,-2.935,332.014,118.966,215.669,232.0,235.468,212.462,0.952
0,-184,190.413,3.174,-2.881,393.412,126.194,223.182,233.549,231.158,210.706,0.991
0,-172,179.981,3.0,-2.843,445.19,135.473,226.861,237.741,231.173,207.762,1.006
0,-157,164.469,2.741,-2.839,468.165,144.81,228.009,231.458,209.812,200.529,1.066
0,-146,156.732,2.612,-2.769,462.482,145.89,231.51,229.026,222.036,191.175,1.081
0,-153,162.926,2.715,-2.791,412.044,150.416,230.419,232.246,232.452,201.604,1.037
0,-149,168.648,2.811,-2.654,340.425,152.882,232.562,234.61,231.225,200.142,1.048
0,-135,161.149,2.686,-2.564,323.241,152.591,233.927,233.309,232.086,205.273,1.046
0,-116,145.0,2.417,-2.498,249.128,150.336,224.84,238.304,229.961,205.993,1.0
0,-93,126.669,2.111,-2.395,154.324,152.643,230.801,228.484,212.426,177.539,1.12
0,-66,109.202,1.82,-2.22,129.468,151.003,233.026,232.974,217.635,187.417,1.096
0,-49,106.005,1.767,-2.051,124.016,150.333,230.625,231.355,223.6,200.998,1.055
0,-33,104.355,1.739,-1.893,119.62,156.042,234.233,229.872,214.56,185.068,1.116
0,-23,108.467,1.808,-1.784,136.488,156.554,229.268,227.438,214.947,190.672,1.086
0,-14,111.879,1.865,-1.696,156.847,162.607,234.401,235.968,211.625,169.956,1.139
0,2,115.017,1.917,-1.553,197.124,161.208,229.961,225.211,196.499,163.248,1.179
0,14,116.842,1.947,-1.451,189.264,160.031,224.722,231.89,190.011,153.16,1.172
0,42,128.082,2.135,-1.237,193.023,162.388,232.332,231.905,185.529,139.086,1.252
0,58,137.801,2.297,-1.136,269.459,158.382,229.268,232.691,172.244,127.534,1.292
